frameIndex;frameTime;mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12]
0;0.000000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
1;0.010000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
2;0.020000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
3;0.030000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
4;0.040000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
5;0.050000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
6;0.060000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
7;0.070000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
8;0.080000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
9;0.090000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
10;0.100000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
11;0.110000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
12;0.120000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
13;0.130000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
14;0.140000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
15;0.150000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
16;0.160000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
17;0.170000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
18;0.180000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
19;0.190000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
20;0.200000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
21;0.210000;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00
22;0.220000;-5.151751e+00;5.291350e-01;-1.272881e+00;2.052597e+00;2.708582e+00;9.332130e-02;-6.901991e+00;-1.123017e+00;-6.038446e-01;4.272799e+00;-3.774739e+00;-9.440154e-01
23;0.230000;-1.104755e+01;3.169946e+00;3.231321e-01;4.366835e+00;5.279931e+00;3.798780e+00;-9.412815e+00;-3.871019e+00;-2.678759e-01;3.630895e+00;-5.075981e+00;-1.582300e+00
24;0.240000;-1.685157e+01;5.763083e+00;3.464117e+00;5.983876e+00;4.814893e+00;7.372361e+00;-7.220006e+00;-5.213810e+00;2.063287e+00;6.750604e+00;-7.603802e+00;-1.613951e+00
25;0.250000;-1.785697e+01;7.912550e+00;7.568445e+00;2.380511e+00;-1.680459e+00;3.452049e+00;2.451697e-01;-6.324146e+00;3.995323e+00;1.527675e+00;-3.240320e+00;-3.486351e+00
26;0.260000;-1.596827e+01;8.451493e+00;8.452964e+00;-1.566790e+00;-6.864890e+00;-3.312561e+00;2.882186e+00;-6.597542e+00;4.636914e+00;1.753967e+00;-4.451633e+00;-1.006120e+01
27;0.270000;-1.161678e+01;7.651080e+00;6.657127e+00;-5.661804e+00;-1.281944e+01;-1.192239e+01;2.444664e+00;-6.463155e+00;3.252278e+00;2.392762e+00;-4.611808e+00;-1.859634e+01
28;0.280000;-1.021374e+01;6.683782e+00;1.485250e+00;-8.607071e+00;-1.479414e+01;-1.531249e+01;-1.604140e+00;-1.038231e+01;-2.418013e-01;2.361788e+00;-1.047340e+01;-2.389850e+01
29;0.290000;-1.079731e+01;6.526721e+00;-4.012394e+00;-1.056961e+01;-1.660659e+01;-1.726071e+01;-4.258731e+00;-1.010158e+01;-1.803944e-01;-5.790727e-01;-1.102749e+01;-2.177073e+01
30;0.300000;-1.566226e+01;6.158063e+00;-9.781911e+00;-1.233782e+01;-1.605641e+01;-1.824029e+01;-1.045677e+01;-1.250664e+01;-4.971031e+00;-8.175252e+00;-1.034642e+01;-1.655260e+01
31;0.310000;-1.780235e+01;7.037617e+00;-9.558540e+00;-1.254354e+01;-1.617217e+01;-1.882800e+01;-9.985560e+00;-8.751437e+00;-3.192891e+00;-1.137560e+01;-9.489666e+00;-1.528185e+01
32;0.320000;-2.094080e+01;5.450665e+00;-1.054421e+01;-1.357607e+01;-1.426277e+01;-1.778095e+01;-8.882318e+00;-7.038019e+00;-4.469744e+00;-9.713800e+00;-9.979789e+00;-1.654909e+01
33;0.330000;-2.063748e+01;6.092369e+00;-8.091263e+00;-1.428030e+01;-1.061087e+01;-1.424325e+01;-7.108947e+00;-4.457792e+00;-8.532223e-01;-6.912630e+00;-9.679436e+00;-1.744268e+01
